proj,files,totalLines,commentLines,blankLines,lineOfCodes,class,property,method,functions,operator,size(bytes),size
G:\GCModeller\src\repository\Bio.Repository\repository.NET5.vbproj,Bio.Repository\HDS\PtfReader.vb,147,14,27,106,1,0,4,4,0,5386,5.39 KB
G:\GCModeller\src\repository\Bio.Repository\repository.NET5.vbproj,Bio.Repository\HDS\PtfWriter.vb,149,18,24,107,1,0,9,1,0,5955,5.96 KB
G:\GCModeller\src\repository\Bio.Repository\repository.NET5.vbproj,Bio.Repository\HDS\SabiorkRepository.vb,135,25,20,90,1,0,4,3,0,5258,5.26 KB
G:\GCModeller\src\repository\Bio.Repository\repository.NET5.vbproj,Bio.Repository\HDS\Rhea\RheaNetworkReader.vb,77,0,14,63,1,0,2,3,0,2774,2.77 KB
G:\GCModeller\src\repository\Bio.Repository\repository.NET5.vbproj,Bio.Repository\HDS\Rhea\RheaNetworkWriter.vb,77,13,13,51,1,0,4,0,0,2981,2.98 KB
G:\GCModeller\src\repository\Bio.Repository\repository.NET5.vbproj,Bio.Repository\Indexing\NamesFactory.vb,15,9,2,4,1,0,0,2,0,418,418 B
G:\GCModeller\src\repository\Bio.Repository\repository.NET5.vbproj,Bio.Repository\Indexing\NamesIndex.vb,32,4,7,21,1,0,1,1,0,945,945 B
G:\GCModeller\src\repository\Bio.Repository\repository.NET5.vbproj,Bio.Repository\KEGG\Extensions.vb,43,5,4,34,1,0,0,2,0,1801,1.80 KB
G:\GCModeller\src\repository\Bio.Repository\repository.NET5.vbproj,Bio.Repository\KEGG\KEGGOrganism.vb,3,2,1,0,0,0,0,0,0,40,40 B
G:\GCModeller\src\repository\Bio.Repository\repository.NET5.vbproj,Bio.Repository\KEGG\SSDB.vb,70,14,12,44,1,0,1,0,0,2685,2.69 KB
G:\GCModeller\src\repository\Bio.Repository\repository.NET5.vbproj,Bio.Repository\KEGG\KEGGOrthology\KEGGOrthology.vb,158,3,27,128,1,1,3,6,0,5565,5.57 KB
G:\GCModeller\src\repository\Bio.Repository\repository.NET5.vbproj,Bio.Repository\KEGG\KEGGOrthology\KO_gene.vb,44,29,3,12,1,6,0,1,0,1357,1.36 KB
G:\GCModeller\src\repository\Bio.Repository\repository.NET5.vbproj,Bio.Repository\KEGG\KEGGOrthology\OrganismModel.vb,113,29,10,74,1,3,1,4,0,4252,4.25 KB
G:\GCModeller\src\repository\Bio.Repository\repository.NET5.vbproj,Bio.Repository\KEGG\MessagePack\KEGGCompoundPack.vb,94,20,11,63,1,0,1,7,0,4087,4.09 KB
G:\GCModeller\src\repository\Bio.Repository\repository.NET5.vbproj,Bio.Repository\KEGG\MessagePack\KEGGMapPack.vb,124,21,14,89,1,0,1,7,0,5509,5.51 KB
G:\GCModeller\src\repository\Bio.Repository\repository.NET5.vbproj,Bio.Repository\KEGG\MessagePack\KEGGPathwayPack.vb,93,9,12,72,1,0,2,7,0,4291,4.29 KB
G:\GCModeller\src\repository\Bio.Repository\repository.NET5.vbproj,Bio.Repository\KEGG\MessagePack\KEGGReactionPack.vb,87,10,11,66,1,0,1,7,0,4080,4.08 KB
G:\GCModeller\src\repository\Bio.Repository\repository.NET5.vbproj,Bio.Repository\KEGG\MessagePack\ReactionClassPack.vb,63,0,10,53,1,0,1,6,0,2960,2.96 KB
G:\GCModeller\src\repository\Bio.Repository\repository.NET5.vbproj,Bio.Repository\KEGG\ReactionRepository\CompoundRepository.vb,199,10,29,160,2,5,2,12,0,7719,7.72 KB
G:\GCModeller\src\repository\Bio.Repository\repository.NET5.vbproj,Bio.Repository\KEGG\ReactionRepository\PathwayRepository.vb,44,0,8,36,1,2,0,2,0,1546,1.55 KB
G:\GCModeller\src\repository\Bio.Repository\repository.NET5.vbproj,Bio.Repository\KEGG\ReactionRepository\ReactionLink.vb,149,15,17,117,1,0,0,7,0,8518,8.52 KB
G:\GCModeller\src\repository\Bio.Repository\repository.NET5.vbproj,Bio.Repository\KEGG\ReactionRepository\RepositoryExtensions.vb,57,0,9,48,3,0,1,3,0,2108,2.11 KB
G:\GCModeller\src\repository\Bio.Repository\repository.NET5.vbproj,Bio.Repository\KEGG\Web\KEGGApi.vb,160,60,18,82,3,0,1,6,0,5847,5.85 KB
G:\GCModeller\src\repository\Bio.Repository\repository.NET5.vbproj,Bio.Repository\NCBI\Genbank.vb,346,68,53,225,4,9,5,18,0,13348,13.35 KB
G:\GCModeller\src\repository\Bio.Repository\repository.NET5.vbproj,Bio.Repository\NCBI\RepositoryExtensions.vb,27,5,4,18,1,0,0,2,0,998,998 B
G:\GCModeller\src\repository\Bio.Repository\repository.NET5.vbproj,Bio.Repository\NCBI\WebAPI.vb,61,7,12,42,5,0,2,1,0,1963,1.96 KB
G:\GCModeller\src\repository\Bio.Repository\repository.NET5.vbproj,Bio.Repository\test\Module1.vb,53,3,13,37,1,0,5,0,0,1484,1.48 KB
G:\GCModeller\src\repository\Bio.Repository\repository.NET5.vbproj,Bio.Repository\test\My Project\Application.Designer.vb,13,9,2,2,0,0,0,0,0,438,438 B
