ID,geneNames,fullName,EC_number,function
K06726,rbsD,D-ribose pyranase [EC:5.4.99.62],5.4.99.62,D-ribose pyranase
K05031,CFTR; ABCC7,cystic fibrosis transmembrane conductance regulator [EC:5.6.1.6],5.6.1.6,channel-conductance-controlling ATPase
K05659,ABCB4,"ATP-binding cassette, subfamily B (MDR/TAP), member 4 [EC:7.6.2.2]",7.6.2.2,ABC-type xenobiotic transporter
K05658,ABCB1; CD243,"ATP-binding cassette, subfamily B (MDR/TAP), member 1 [EC:7.6.2.2]",7.6.2.2,ABC-type xenobiotic transporter
K18104,abcA; bmrA,"ATP-binding cassette, subfamily B, bacterial AbcA/BmrA [EC:7.6.2.2]",7.6.2.2,ABC-type xenobiotic transporter
K06074,btuD,vitamin B12 transport system ATP-binding protein [EC:7.6.2.8],7.6.2.8,ABC-type vitamin B12 transporter
K06857,tupC; vupC,tungstate transport system ATP-binding protein [EC:7.3.2.6],7.3.2.6,ABC-type tungstate transporter
K15497,wtpC,molybdate/tungstate transport system ATP-binding protein [EC:7.3.2.5 7.3.2.6],7.3.2.6,ABC-type tungstate transporter
K09693,tagH,teichoic acid transport system ATP-binding protein [EC:7.5.2.4],7.5.2.4,ABC-type teichoic-acid transporter
K10831,tauB,taurine transport system ATP-binding protein [EC:7.6.2.7],7.6.2.7,ABC-type taurine transporter
K02045,cysA,sulfate/thiosulfate transport system ATP-binding protein [EC:7.3.2.3],7.3.2.3,ABC-type sulfate transporter
K05847,opuA,osmoprotectant transport system ATP-binding protein [EC:7.6.2.9],7.6.2.9,ABC-type quaternary amine transporter
K02000,proV,glycine betaine/proline transport system ATP-binding protein [EC:7.6.2.9],7.6.2.9,ABC-type quaternary amine transporter
K11072,potA,spermidine/putrescine transport system ATP-binding protein [EC:7.6.2.11],7.6.2.11,ABC-type polyamine transporter
K10017,hisP,histidine transport system ATP-binding protein [EC:7.4.2.1],7.4.2.1,ABC-type polar-amino-acid transporter
K10041,peb1C; glnQ,aspartate/glutamate/glutamine transport system ATP-binding protein [EC:7.4.2.1],7.4.2.1,ABC-type polar-amino-acid transporter
